Name	ID
BBH	OEBT002000000O
eggNOG	OEBT0020000004
Ensembl_Compara	OEBT0020000005
Hieranoid2	OEBT0020000008
InParanoid	OEBT002000000A
OMA_GETHOGs_2.0	OEBT0020000007
OMA_Groups_2.0	OEBT002000000D
OMA_Pairs_2.0	OEBT002000000F
OrthoFinder_2_BLAST__DendroBLAST_	OEBT002000000H
OrthoFinder_2_BLAST__MSA	OEBT002000000J
OrthoFinder_2_Defaults_DIAMOND__MSA	OEBT002000000I
OrthoFinder_2_DIAMOND__MSA	OEBT002000000T
OrthoInspector_3.0	OEBT002000000K
PANTHER_14.1_all	OEBT002000000L
PANTHER_14.1_LDO_only	OEBT002000000M
RSD	OEBT002000000P
SonicParanoid_default	OEBT002000000R
SonicParanoid_most	OEBT002000000U
SonicParanoid_sensitive	OEBT002000000S
